Period,Primary Subject  Author:,Primary Subject Work,Classification:,Subject Terms: ,,Genre:
1800-1899,"Lowell, James Russell (1819-1891)",No Subject Work,poetry,sources in classical literature,,periodicals
1800-1899,"Ingraham, Joseph Holt (1809-1860)",No Subject Work,No Classification,No Subject Terms,,periodicals
1800-1899,"Irving, Washington (1783-1859)",Astoria (1836),prose,"sources in Stuart, Robert",,
1800-1899,"Melville, Herman (1819-1891)",No Subject Work,No Classification,No Subject Terms,,
1900-1999,No Subject Author,No Subject Work,No Classification,'Manuscript Journal',,
1800-1899,"James, Henry, Jr. (1843-1916)",No Subject Work,No Classification,No Subject Terms,,
1800-1899,"Emerson, Ralph Waldo (1803-1882)",No Subject Work,No Classification,No Subject Terms,,
1800-1899,No Subject Author,The Ambassadors (1903),prose,bibliography,,
1900-1999,"James, Henry, Jr. (1843-1916)",No Subject Work,No Classification,relationship to textual errors,,
1800-1899,"role of Flower, Benjamin Orange (1858-1918)",The Arena (1889-1909),No Classification,in chapters,,
1800-1899,"role of Harte, Bret (1836-1902)",Overland Monthly,No Classification,bibliography,,
1900-1999,"Eliot, T. S. (1888-1965)",'Preludes',novel,relationship to social reform,,
1800-1899,"Philippe, Charles-Louis (1874-1909)",'Rhapsody on a Windy Night',poetry,muckrakers,,
1800-1899,"Cranch, Christopher Pearse (1813-1892)",Bubu de Montparnasse,novel,No Subject Terms,,
1800-1899,"Melville, Herman (1819-1891)",Marie Donadieu,No Classification,"sources in Philippe, Charles-Louis (1874-1909)",,
1800-1899,No Subject Author,The Song of Hiawatha (1855),No Classification,Bubu de Montparnasse,,
1700-1799,"Emerson, Ralph Waldo (1803-1882)",No Subject Work,poetry,Marie Donadieu,,
1800-1899,"Franklin, Benjamin (1706-1790)",No Subject Work,No Classification,"influence on Eliot, T. S. (1888-1965)",,
1800-1899,"Dwight, John Sullivan (1813-1893)",No Subject Work,prose,'Preludes',,
1800-1899,"Longfellow, Henry Wadsworth (1807-1882)",No Subject Work,prose,'Rhapsody on a Windy Night',,
1800-1899,"Holmes, Oliver Wendell (1809-1894)",No Subject Work,translation,relationship to literary career,,
1800-1899,"treatment in Clemens, Samuel (1835-1910)",No Subject Work,No Classification,canon,,
1800-1899,"Clemens, Samuel (1835-1910)",Kalevala,No Classification,includes biographical information,,
1800-1899,"Poe, Edgar Allan (1809-1849)",The Autocrat of the Breakfast Table (1858),poetry,No Subject Terms,,
1800-1899,"Melville, Herman (1819-1891)",Roughing It (1872),prose,No Subject Terms,,
1600-1699,"Melville, Herman (1819-1891)",No Subject Work,No Classification,relationship to mysticism,,
1900-1999,No Subject Author,No Subject Work,No Classification,No Subject Terms,,
1800-1899,"Melville, Herman (1819-1891)",Billy Budd,prose,English language translation,,
1800-1899,"Cotton, John (1584-1652)",The Confidence-Man (1857),No Classification,of German Romantic writers,,
1800-1899,"Melville, Herman (1819-1891)",No Subject Work,novel,"by Dwight, John Sullivan (1813-1893)",,
1800-1899,"Whittier, John Greenleaf (1807-1892)",No Subject Work,novel,sources in Kalevala,,
1800-1899,"Whitman, Walt (1819-1892)",No Subject Work,novel,"influence on Longfellow, Henry Wadsworth (1807-1882)",,
1900-1999,"Hawthorne, Nathaniel (1804-1864)",No Subject Work,prose,The Song of Hiawatha (1855),,
1700-1799,"Melville, Herman (1819-1891)",No Subject Work,manuscript notes,No Subject Terms,,
1800-1899,"Cather, Willa (1873-1947)",'The Gentle Boy',source study,treatment in lecture,,
1800-1899,"Dwight, Timothy (1752-1817)",Pierre (1852),short story,includes edition,,
1800-1899,"Flint, Timothy (1780-1840)",No Subject Work,novel,No Subject Terms,,
,"Channing, William Ellery, the Elder (1780-1842)",No Subject Work,No Classification,No Subject Terms,,
,"Tocqueville, Alexis-Henri-Charles-Maurice-Clérel, comte de (1805-1859)",Remarks on American Literature (1830),No Classification,irony,,
,"Whitman, Walt (1819-1892)",La Démocratie en Amérique (1835-40),No Classification,treatment in criticism,,
,,No Subject Work,criticism,tone,,
,,,prose,in anecdote,,
,,,prose,No Subject Terms,,
,,,manuscript notes,bibliography,,
,,,,No Subject Terms,,
,,,,treatment in book review,,
,,,,in religious periodicals (1846-1849),,
,,,,No Subject Terms,,
,,,,No Subject Terms,,
,,,,"treatment of Pearson, Tobias (character)",,
,,,,relationship to ambiguity,,
,,,,in narrative structure,,
,,,,"compared to Glendinning, Pierre (character)",,
,,,,"in Melville, Herman (1819-1891)",,
,,,,Pierre (1852),,
,,,,treatment of romantic love,,
,,,,of characters,,
,,,,No Subject Terms,,
,,,,No Subject Terms,,
,,,,No Subject Terms,,
,,,,on democracy,,
,,,,relationship to literary production,,
,,,,"influence on Tocqueville, Alexis-Henri-Charles-Maurice-Clérel, comte de (1805-1859)",,
,,,,La Démocratie en Amérique (1835-40),,
,,,,"sources in Channing, William Ellery, the Elder (1780-1842)",,
,,,,Remarks on American Literature (1830),,
,,,,treatment of oratory,,
