Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
A Source for Irving's 'The Young Italian',"Clark, Michael","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Mar-80,52,1,111,,100723,,,Journal Article,"1800-1899; Allston, Washington; American literature; Irving, Washington; 'The Story of the Young Italian'; short story; Monaldi",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100723&site=ehost-live
All the Living and the Dead: Lincoln's Imagery,"Hurt, James","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Nov-80,52,3,351,,100005,,,Journal Article,"1800-1899; imagery; American literature; Lincoln, Abraham; prose",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100005&site=ehost-live
American Literature: The State of the Art,"Holman, C. Hugh","American Literature: A Journal of Literary History, Criticism, and Bibliography",00029831,,1-Jan-80,52,,449,,1980109820,,,Journal Article,American literature,,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1980109820&site=ehost-live
American Personal Narrative of the War in Vietnam,"Taylor, Gordon O.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-May-80,52,2,294,,100715,,,Journal Article,"1900-1999; prose; personal narrative; Vietnam War; American literature; Greene, Graham; The Quiet American",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100715&site=ehost-live
Articles on American Literature Appearing in Current Periodicals,"Meserole, Harrison T.; Rambeau, James M.","American Literature: A Journal of Literary History, Criticism, and Bibliography",00029831,,1-Jan-80,51,,,,1980109861,,,Journal Article,Bibliography; American literature,,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1980109861&site=ehost-live
Beyond Convention: The Dynamics of Imagery and Response in Hawthorne's Early Sense of Evil,"Downing, David","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Jan-80,51,4,463,,100725,,,Journal Article,"1800-1899; imagery; evil; American literature; Hawthorne, Nathaniel; 'The Hollow of the Three Hills'; 'Alice Doane's Appeal'; short story",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100725&site=ehost-live
Cable's The Grandissimes and the Comedy of Manners,"Stephens, Robert O.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Jan-80,51,4,507,,100728,,,Journal Article,"1800-1899; comedy of manners; American literature; Cable, George Washington; The Grandissimes; novel",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100728&site=ehost-live
Emily Dickinson's Train: Iron Horse or 'Rough Beast'?,"O'Connell, Patrick F.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Nov-80,52,3,469,,100011,,,Journal Article,"1800-1899; train imagery; poetic form; progress; technology; American literature; Dickinson, Emily; 'I like to see it lap the miles'; poetry",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100011&site=ehost-live
Hawthorne's Oak Trees,"Samson, John","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Nov-80,52,3,457,,100009,,,Journal Article,"1800-1899; symbolism; oak tree; American literature; Hawthorne, Nathaniel; 'Roger Malvin's Burial'; short story",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100009&site=ehost-live
"Hemingway, Faulkner, and 'The Bear'","Howell, John M.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Mar-80,52,1,115,,100724,,,Journal Article,"1900-1999; Hemingway, Ernest; American literature; Faulkner, William; 'The Bear'; short story; For Whom the Bell Tolls",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100724&site=ehost-live
John Steinbeck and Farm Labor Unionization: The Background of In Dubious Battle,"Benson, Jackson J.; Loftis, Anne","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-May-80,52,2,194,,100709,,,Journal Article,"1900-1999; labor strike; farmers; California; American literature; Steinbeck, John; In Dubious Battle; novel",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100709&site=ehost-live
Kate Chopin's Sources for 'Mrs. Mobry's Reason',"Wolstenholme, Susan","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Jan-80,51,4,540,,100731,,,Journal Article,"1800-1899; thematic structure; Ibsen, Henrik; Chopin, Kate; American literature; 'Mrs. Mobry's Reason'; short story; Gengangere; Ghosts; Wagner, Richard; Der Ring des Nibelungen; Norwegian literature; drama; 'Mrs. Mobry's Reason",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100731&site=ehost-live
'Mysterious Obligation': Jefferson's Notes on the State of Virginia,"Ferguson, Robert A.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Nov-80,52,3,381,,100006,,,Journal Article,"1700-1799; literary culture; American literature; Jefferson, Thomas; Notes on the State of Virginia; prose",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100006&site=ehost-live
Narrative Techniques and the Oral Tradition in The Scarlet Letter,"Bayer, John G.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-May-80,52,2,250,,100712,,,Journal Article,"1800-1899; narrative technique; oral tradition; American literature; Hawthorne, Nathaniel; The Scarlet Letter; novel",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100712&site=ehost-live
Phillis Wheatley's Use of Classicism,"Shields, John C.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Mar-80,52,1,97,,100722,,,Journal Article,"1700-1799; African American women poets; classicism; American literature; Wheatley, Phillis; poetry",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100722&site=ehost-live
Poetry and Praise in Edward Taylor's Preparatory Meditations,"Johnson, Parker H.","American Literature: A Journal of Literary History, Criticism, and Bibliography",15272117,,1-Mar-80,52,1,84,,100721,,,Journal Article,"1600-1699; Puritan poets; rhetorical technique; praise; spirituality; authorial self; American literature; Taylor, Edward; Preparatory Meditations; poetry",,,http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=0000100721&site=ehost-live
