Period,Primary Subject Author,Primary Subject Work,,Classification,Subject Terms:,Genre: 
1800-1899,"Irving, Washington (1783-1859)",'The Story of the Young Italian',short story,short story,"sources in Allston, Washington (1779-1843)",prose
1800-1899,"Lincoln, Abraham (1809-1865)",No Subject Work,prose,prose,Monaldi (1841),folk literature
No Period Listed,No Subject Author,No Subject Work,No Classification,short story,imagery,
1900-1999,No Subject Author,No Subject Work,No Classification,novel,No Subject Terms,
No Period Listed,No Subject Author,No Subject Work,No Classification,poetry,as personal narrative,
1800-1899,"Hawthorne, Nathaniel (1804-1864)",'The Hollow of the Three Hills',short story,short story,treatment of Vietnam War,
1800-1899,"Cable, George Washington (1844-1925)",'Alice Doane's Appeal',novel,short story,"compared to Greene, Graham (1904-1991)",
1800-1899,"Dickinson, Emily (1830-1886)",The Grandissimes (1880),poetry,novel,The Quiet American (1955),
1800-1899,"Hawthorne, Nathaniel (1804-1864)",'I like to see it lap the miles',short story,short story,Bibliography,
1900-1999,"Faulkner, William (1897-1962)",'Roger Malvin's Burial',short story,drama,imagery,
1900-1999,"Steinbeck, John (1902-1968)",'The Bear',novel,prose,treatment of evil,
1800-1899,"Chopin, Kate (1851-1904)",In Dubious Battle (1936),short story,novel,as comedy of manners,
1700-1799,"Ibsen, Henrik (1828-1906)",'Mrs. Mobry's Reason',drama,poetry,train imagery,
1800-1899,"and Wagner, Richard (1813-1883)",Gengangere (1881) [Ghosts],prose,poetry,poetic form,
1700-1799,"Jefferson, Thomas (1743-1826)",Der Ring des Nibelungen (1869-1876),novel,poetry,treatment of progress,
1600-1699,"Hawthorne, Nathaniel (1804-1864)",Notes on the State of Virginia (1787),poetry,prose,technology,
1800-1899,"Wheatley, Phillis (1753?-1784)",The Scarlet Letter (1850),poetry,prose,symbolism,
1800-1899,"Taylor, Edward (ca. 1644-1729)",No Subject Work,poetry,and letters,of oak tree,
1900-1999,"Whitman, Walt (1819-1892)",Preparatory Meditations (1682-1725),prose,poetry,"sources in Hemingway, Ernest (1899-1961)",
1900-1999,"Clemens, Samuel (1835-1910)",No Subject Work,prose,short story,For Whom the Bell Tolls (1940),
1900-1999,"Frost, Robert (1874-1963)",The Innocents Abroad (1869),and letters,novel,treatment of labor strike,
1800-1899,"Lowell, Robert (1917-1977)",Roughing It (1872),poetry,novel,of farmers,
1800-1899,"Anderson, Sherwood (1876-1941)",No Subject Work,short story,novel,in California,
1900-1999,"Melville, Herman (1819-1891)",No Subject Work,novel,poetry,thematic structure,
1600-1699,"Chopin, Kate (1851-1904)","Winesburg, Ohio (1919)",novel,poetry,"sources in Ibsen, Henrik (1828-1906)",
1900-1999,"Flaubert, Gustave (1821-1880)",No Subject Work,novel,novel,Gengangere (1881) [Ghosts],
1800-1899,"Dickey, James (1923-1997)",The Awakening (1899),poetry,novel,"Wagner, Richard (1813-1883)",
1800-1899,"Tompson, Benjamin (1642-1714)",Madame Bovary (1857),poetry,novel,Der Ring des Nibelungen (1869-1876),
