Author Name,Cited In,Gender,Race,Notes
"and Wagner, Richard (1813-1883)",1980,Male,White,German
"Anderson, Sherwood (1876-1941)",1980,Male,White,
"Apess, William (1798-1839)",2010,Male,Native/Mixed race,
"Baldwin, James (1924-1987)",1980,Male,Black,
"Cable, George Washington",1980,Male,White,
"Cable, George Washington (1844-1925)",2010,Male,White,
"Carson, Rachel (1907-1964)",2010,Female,White,
"Cather, Willa (1873-1947)",1950,Female,White,
"Channing, William Ellery, the Elder (1780-1842)",1950,Male,White,
"Chopin, Kate (1851-1904)",1980,Female,White,Ethnically French
"Chopin, Kate (1851-1904)",1980,Female,White,Ethnically French
"Clemens, Samuel (1835-1910)",1950,Male,White,
"Clemens, Samuel (1835-1910)",1980,Male,White,
"Coke, Allison Adelle Hedge (1958-)",2010,Female,Native/Mixed race,
"Cooper, James Fenimore (1789-1851)",1980,Male,White,
"Cotton, John (1584-1652)",1950,Male,White,
"Cranch, Christopher Pearse (1813-1892)",1950,Male,White,
"Dickey, James (1923-1997)",1980,Male,White,
"Dickinson, Emily (1830-1886)",1980,Female,White,
"Douglass, Frederick (1817-1895)",2010,Male,Black,
"Douglass, Frederick (1817-1895)",2010,Male,Black,
"Dwight, John Sullivan (1813-1893)",1950,Male,White,
"Dwight, Timothy (1752-1817)",1950,Male,White,
"Eliot, T. S. (1888-1965)",1950,Male,White,
"Emerson, Ralph Waldo",1950,Male,White,
"Emerson, Ralph Waldo",1950,Male,White,
"Emerson, Ralph Waldo (1803-1882)",2010,Male,White,
"Faulkner, William (1897-1962)",1980,Male,White,
"Faulkner, William (1897-1962)",1980,Male,White,
"Flaubert, Gustave (1821-1880)",1980,Male,White,French
"Flint, Timothy (1780-1840)",1950,Male,White,
"Franklin, Benjamin (1706-1790)",1950,Male,White,
"Frost, Robert (1874-1963)",1980,Male,White,
"Hawthorne, Nathaniel (1804-1864)",1950,Male,White,
"Hawthorne, Nathaniel (1804-1864)",1980,Male,White,
"Hawthorne, Nathaniel (1804-1864)",1980,Male,White,
"Hawthorne, Nathaniel (1804-1864)",1980,Male,White,
"Hemingway, Ernest (1899-1961)",1980,Male,White,
"Holmes, Oliver Wendell (1809-1894)",1950,Male,White,
"Howells, William Dean (1837-1920)",1980,Male,White,
"Ibsen, Henrik (1828-1906)",1980,Male,White,Norwegian
"Ingraham, Joseph Holt",1950,Male,White,
"Irving, Washington (1783-1859)",1950,Male,White,
"Irving, Washington (1783-1859)",1980,Male,White,
"Jacobs, Harriet Ann (1813-1897)",2010,Male,Black,
"James, Henry, Jr.",1950,Male,White,
"Jefferson, Thomas (1743-1826)",1980,Male,White,
Lin Yutang (1895-1976),2010,Male,Asian,"immigrated from China, many writings in Chinese"
"Lincoln, Abraham (1809-1865)",1980,Male,White,
"Longfellow, Henry Wadsworth (1807-1882)",1950,Male,White,
"Lowell, James Russell",1950,Male,White,
"Lowell, Robert (1917-1977)",1980,Male,White,
"Melville, Herman (1819-1891)",1950,Male,White,
"Melville, Herman (1819-1891)",1950,Male,White,
"Melville, Herman (1819-1891)",1950,Male,White,
"Melville, Herman (1819-1891)",1950,Male,White,
"Melville, Herman (1819-1891)",1950,Male,White,
"Melville, Herman (1819-1891)",1950,Male,White,
"Melville, Herman (1819-1891)",1950,Male,White,
"Melville, Herman (1819-1891)",1980,Male,White,
"Melville, Herman (1819-1891)",1980,Male,White,
"Melville, Herman (1819-1891)",1980,Male,White,
"Melville, Herman (1819-1891)",2010,Male,White,
"Melville, Herman (1819-1891)",2010,Male,White,
"Philippe, Charles-Louis (1874-1909)",1950,Male,White,French
"Poe, Edgar Allan (1809-1849)",1950,Male,White,
"Porter, Katherine Anne (1890-1980)",1980,Female,White,
"role of Flower,  Benjamin Orange (1858-1918)",1950,Male,White,
"role of Harte, Bret (1836-1902)",1950,Male,White,
"Schuyler, George Samuel (1895-1977)",2010,Male,Black,
"Steinbeck, John (1902-1968)",1980,Male,White,
"Stowe, Harriet Beecher (1811-1896)",2010,Female,White,
"Taylor, Edward (ca. 1644-1729)",1980,Male,White,
"Tocqueville, Alexis-Henri-Charles-Maurice-Clérel, comte de (1805-1859)",1950,Male,White,French
"Tompson, Benjamin (1642-1714)",1980,Male,White,
"Toomer, Jean (1894-1967)",2010,Male,Black,
"treatment in Clemens, Samuel (1835-1910)",1950,Male,White,
"treatment in Thoreau, Henry David (1817-1862)",1980,Male,White,
"treatment of Metacom, Chief of the Wampanoags (ca. 1637-1676)",1980,Male,Native,
"Warren, Robert Penn (1905-1989)",1980,Male,White,
"Wheatley, Phillis (1753?-1784)",1980,Female,Black,
"Wheatley, Phillis (1753?-1784)",2010,Female,Black,
"Whitman, Walt (1819-1892)",1950,Male,White,
"Whitman, Walt (1819-1892)",1950,Male,White,
"Whitman, Walt (1819-1892)",1980,Male,White,
"Whittier, John Greenleaf",1950,Male,White,
"Wright, Richard (1908-1960)",2010,Male,Black,
"Yezierska, Anzia (1885-1970)",2010,Female,White,"Polish, Jewish immigrant"
