Author Name,Cited In
"and Wagner, Richard (1813-1883)",1980
"Anderson, Sherwood (1876-1941)",1980
"Apess, William (1798-1839)",2010
"Baldwin, James (1924-1987)",1980
"Cable, George Washington",1980
"Cable, George Washington (1844-1925)",2010
"Carson, Rachel (1907-1964)",2010
"Cather, Willa (1873-1947)",1950
"Channing, William Ellery, the Elder (1780-1842)",1950
"Chopin, Kate (1851-1904)",1980
"Chopin, Kate (1851-1904)",1980
"Clemens, Samuel (1835-1910)",1950
"Clemens, Samuel (1835-1910)",1980
"Coke, Allison Adelle Hedge (1958-)",2010
"Cooper, James Fenimore (1789-1851)",1980
"Cotton, John (1584-1652)",1950
"Cranch, Christopher Pearse (1813-1892)",1950
"Dickey, James (1923-1997)",1980
"Dickinson, Emily (1830-1886)",1980
"Douglass, Frederick (1817-1895)",2010
"Douglass, Frederick (1817-1895)",2010
"Dwight, John Sullivan (1813-1893)",1950
"Dwight, Timothy (1752-1817)",1950
"Eliot, T. S. (1888-1965)",1950
"Emerson, Ralph Waldo",1950
"Emerson, Ralph Waldo",1950
"Emerson, Ralph Waldo (1803-1882)",2010
"Faulkner, William (1897-1962)",1980
"Faulkner, William (1897-1962)",1980
"Flaubert, Gustave (1821-1880)",1980
"Flint, Timothy (1780-1840)",1950
"Franklin, Benjamin (1706-1790)",1950
"Frost, Robert (1874-1963)",1980
"Hawthorne, Nathaniel (1804-1864)",1950
"Hawthorne, Nathaniel (1804-1864)",1980
"Hawthorne, Nathaniel (1804-1864)",1980
"Hawthorne, Nathaniel (1804-1864)",1980
"Hemingway, Ernest (1899-1961)",1980
"Holmes, Oliver Wendell (1809-1894)",1950
"Howells, William Dean (1837-1920)",1980
"Ibsen, Henrik (1828-1906)",1980
"Ingraham, Joseph Holt",1950
"Irving, Washington (1783-1859)",1950
"Irving, Washington (1783-1859)",1980
"Jacobs, Harriet Ann (1813-1897)",2010
"James, Henry, Jr.",1950
"Jefferson, Thomas (1743-1826)",1980
Lin Yutang (1895-1976),2010
"Lincoln, Abraham (1809-1865)",1980
"Longfellow, Henry Wadsworth (1807-1882)",1950
"Lowell, James Russell",1950
"Lowell, Robert (1917-1977)",1980
"Melville, Herman (1819-1891)",1950
"Melville, Herman (1819-1891)",1950
"Melville, Herman (1819-1891)",1950
"Melville, Herman (1819-1891)",1950
"Melville, Herman (1819-1891)",1950
"Melville, Herman (1819-1891)",1950
"Melville, Herman (1819-1891)",1950
"Melville, Herman (1819-1891)",1980
"Melville, Herman (1819-1891)",1980
"Melville, Herman (1819-1891)",1980
"Melville, Herman (1819-1891)",2010
"Melville, Herman (1819-1891)",2010
"Philippe, Charles-Louis (1874-1909)",1950
"Poe, Edgar Allan (1809-1849)",1950
"Porter, Katherine Anne (1890-1980)",1980
"role of Flower,  Benjamin Orange (1858-1918)",1950
"role of Harte, Bret (1836-1902)",1950
"Schuyler, George Samuel (1895-1977)",2010
"Steinbeck, John (1902-1968)",1980
"Stowe, Harriet Beecher (1811-1896)",2010
"Taylor, Edward (ca. 1644-1729)",1980
"Tocqueville, Alexis-Henri-Charles-Maurice-Clérel, comte de (1805-1859)",1950
"Tompson, Benjamin (1642-1714)",1980
"Toomer, Jean (1894-1967)",2010
"treatment in Clemens, Samuel (1835-1910)",1950
"treatment in Thoreau, Henry David (1817-1862)",1980
"treatment of Metacom, Chief of the Wampanoags (ca. 1637-1676)",1980
"Warren, Robert Penn (1905-1989)",1980
"Wheatley, Phillis (1753?-1784)",1980
"Wheatley, Phillis (1753?-1784)",2010
"Whitman, Walt (1819-1892)",1950
"Whitman, Walt (1819-1892)",1950
"Whitman, Walt (1819-1892)",1980
"Whittier, John Greenleaf",1950
"Wright, Richard (1908-1960)",2010
"Yezierska, Anzia (1885-1970)",2010
