Subject Dates,Dataset,,,,,,,
1600-1699,1950,,,,,,,
1700-1799,1950,,,,,,,
1700-1799,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1800-1899,1950,,,,,,,
1900-1999,1950,,,,,,,
1900-1999,1950,,,,,,,
1900-1999,1950,,,,,,,
1900-1999,1950,,,,,,,
1900-1999,1950,,,,,,,
No Period Listed,1980,,,,,,,
No Period Listed,1980,,,,,,,
1600-1699,1980,,,,,,,
1600-1699,1980,,,,,,,
1700-1799,1980,,,,,,,
1700-1799,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1800-1899,1980,,,,,,,
1900-1999,1980,,,,,,,
1900-1999,1980,,,,,,,
1900-1999,1980,,,,,,,
1900-1999,1980,,,,,,,
1900-1999,1980,,,,,,,
1900-1999,1980,,,,,,,
1900-1999,1980,,,,,,,
1900-1999,1980,,,,,,,
1900-1999,1980,,,,,,,
1900-1999,1980,,,,,,,
1900-1999,1980,,,,,,,
1900-1999,1980,,,,,,,
1700-1799,2010,,,,,,,
1800-1899,2010,,,,,,,24
1800-1899,2010,,,,,,,
1800-1899,2010,,,,,,,
1800-1899,2010,,,,,,,
1800-1899,2010,,,,,,,
1800-1899,2010,,,,,,,
1800-1899,2010,,,,,,,
1800-1899,2010,,,,,,,
1800-1899,2010,,,,,,,
1800-1899,2010,,,,,,,
1800-1899,2010,,,,,,,
1800-1899,2010,,,,,,,
1900-1999,2010,,,,,,,
1900-1999,2010,,,,,,,
1900-1999,2010,,,,,,,
1900-1999,2010,,,,,,,
1900-1999,2010,,,,,,,
1900-1999,2010,,,,,,,
1900-1999,2010,,,,,,,
1900-1999,2010,,,,,,,
1900-1999,2010,,,,,,,
1900-1999,2010,,,,,,,
No Period Listed,2010,,,,,,,
