Subject Terms,Year Assigned,Code
English language translation,1950,"adaptations, performances, and translations"
in film adaptation,2010,"adaptations, performances, and translations"
performance,2010,"adaptations, performances, and translations"
bibliography,1950,article genre
bibliography,1950,article genre
bibliography,1950,article genre
Bibliography,1980,article genre
includes biographical information,1950,article genre
authorship,2010,authorship or publishing
authorship,2010,authorship or publishing
in chapters,1950,authorship or publishing
includes edition,1950,authorship or publishing
relationship to circulation,2010,authorship or publishing
relationship to literary career,1950,authorship or publishing
relationship to literary career,2010,authorship or publishing
relationship to literary culture,1980,authorship or publishing
relationship to literary prizes,2010,authorship or publishing
relationship to literary production,1950,authorship or publishing
relationship to publishing,2010,authorship or publishing
role of apprenticeship,1980,authorship or publishing
role of funding,2010,authorship or publishing
treatment in book review,1950,authorship or publishing
treatment in criticism,1950,authorship or publishing
treatment in lecture,1950,authorship or publishing
with Punch,2010,authorship or publishing
"by Compson, Quentin (character)",1980,character
"compared to Glendinning, Pierre (character)",1950,character
"treatment of Pearson, Tobias (character)",1950,character
"treatment of Stark, Willie (character)",1980,character
human body,2010,concrete object
land,2010,concrete object
of city,1980,concrete object
of electricity,2010,concrete object
of oak tree,1980,concrete object
phonograph,2010,concrete object
relationship to telegraph,2010,concrete object
relationship to typewriter,2010,concrete object
ruins,2010,concrete object
treatment of female body,2010,concrete object
treatment of technology,2010,concrete object
treatment of urban space,2010,concrete object
as comedy of manners,1980,genre
as personal narrative,1980,genre
as tragic novel,1980,genre
in religious periodicals (1846-1849),1950,genre
of speculative fiction,2010,genre
of travel literature,1980,genre
realism,1980,genre
realist fiction,2010,genre
in California,1980,geographical location
children,2010,group of people
citizen,2010,group of people
muckrakers,1950,group of people
of farmers,1980,group of people
of German Romantic writers,1950,group of people
of Native Americans,1980,group of people
soldier,2010,group of people
with New Critics,1980,group of people
abolitionist movement,2010,historical event or entity
African American press,2010,historical event or entity
American Civil War,2010,historical event or entity
King Philip's War,1980,historical event or entity
relationship to abolitionist movement,2010,historical event or entity
relationship to abolitionist movement,2010,historical event or entity
relationship to abolitionist movement,2010,historical event or entity
relationship to American history,1980,historical event or entity
relationship to historical events,1980,historical event or entity
relationship to Italo-Ethiopian War (1935-1936),2010,historical event or entity
relationship to Middle Ages,1980,historical event or entity
treatment of American Civil War,2010,historical event or entity
treatment of colonization,2010,historical event or entity
treatment of fugitive slaves,2010,historical event or entity
treatment of labor strike,1980,historical event or entity
treatment of slavery,2010,historical event or entity
treatment of slavery,2010,historical event or entity
treatment of Vietnam War,1980,historical event or entity
treatment of World War I,2010,historical event or entity
"as Long, Huey Pierce (1893-1935)",1980,person
"Brown, John (1800-1859)",2010,person
Bubu de Montparnasse,1950,person
"by Dwight, John Sullivan (1813-1893)",1950,person
"in Melville, Herman (1819-1891)",1950,person
"in Porter, Katherine Anne (1890-1980)",1980,person
Marie Donadieu,1950,person
"of Yezierska, Anzia (1885-1970)",2010,person
"Sherwood, Mary Martha Butt (1775-1851)",2010,person
"Sumner, Charles (1811-1874)",2010,person
"Wagner, Richard (1813-1883)",1980,person
aesthetics,2010,philosophical concepts and ideologies
black-white relations,2010,philosophical concepts and ideologies
canon,1950,philosophical concepts and ideologies
childhood,2010,philosophical concepts and ideologies
chronotope,2010,philosophical concepts and ideologies
civilization,1980,philosophical concepts and ideologies
cultural assimilation,2010,philosophical concepts and ideologies
cultural survival,2010,philosophical concepts and ideologies
despair,1980,philosophical concepts and ideologies
education,2010,philosophical concepts and ideologies
empire,2010,philosophical concepts and ideologies
in daily life,1980,philosophical concepts and ideologies
innocence,2010,philosophical concepts and ideologies
internationalism,2010,philosophical concepts and ideologies
internationalism,2010,philosophical concepts and ideologies
invention,2010,philosophical concepts and ideologies
national identity,2010,philosophical concepts and ideologies
national identity,2010,philosophical concepts and ideologies
national identity,2010,philosophical concepts and ideologies
of authorial self,1980,philosophical concepts and ideologies
of happiness,1980,philosophical concepts and ideologies
on democracy,1950,philosophical concepts and ideologies
outsider,2010,philosophical concepts and ideologies
political conflict,2010,philosophical concepts and ideologies
political crisis,1980,philosophical concepts and ideologies
professionalism,2010,philosophical concepts and ideologies
racism,2010,philosophical concepts and ideologies
relationship to expansionism,2010,philosophical concepts and ideologies
relationship to mysticism,1950,philosophical concepts and ideologies
relationship to political ideologies,2010,philosophical concepts and ideologies
relationship to postcolonialism,2010,philosophical concepts and ideologies
relationship to praise,1980,philosophical concepts and ideologies
relationship to secularism,2010,philosophical concepts and ideologies
relationship to sexual politics,2010,philosophical concepts and ideologies
relationship to social reform,1950,philosophical concepts and ideologies
relationship to truth,1980,philosophical concepts and ideologies
relationship to urban life,2010,philosophical concepts and ideologies
role of classicism,1980,philosophical concepts and ideologies
spirituality,1980,philosophical concepts and ideologies
technology,1980,philosophical concepts and ideologies
terrorism,2010,philosophical concepts and ideologies
the past,2010,philosophical concepts and ideologies
transnationalism,2010,philosophical concepts and ideologies
trauma,2010,philosophical concepts and ideologies
treatment of black identity,2010,philosophical concepts and ideologies
treatment of death,2010,philosophical concepts and ideologies
treatment of democracy,1950,philosophical concepts and ideologies
treatment of dreaming,2010,philosophical concepts and ideologies
treatment of ecology,2010,philosophical concepts and ideologies
treatment of ethnic identity,2010,philosophical concepts and ideologies
treatment of evil,1980,philosophical concepts and ideologies
treatment of geometry,2010,philosophical concepts and ideologies
treatment of hatred,1980,philosophical concepts and ideologies
treatment of progress,1980,philosophical concepts and ideologies
treatment of race,2010,philosophical concepts and ideologies
treatment of romantic idealism,1980,philosophical concepts and ideologies
treatment of Romantic imagination,1980,philosophical concepts and ideologies
treatment of romantic love,1950,philosophical concepts and ideologies
treatment of spiritual growth,1980,philosophical concepts and ideologies
treatment of suffering,2010,philosophical concepts and ideologies
treatment of the ordinary,1980,philosophical concepts and ideologies
treatment of violence,2010,philosophical concepts and ideologies
trial,2010,philosophical concepts and ideologies
Islam,2010,religion
Puritanism,2010,religion
treatment of Xochiquetzal,1980,religion
allegory,2010,rhetorical technique
as dialogue,1980,rhetorical technique
caricature,2010,rhetorical technique
context,1980,rhetorical technique
ekphrasis,2010,rhetorical technique
genre conventions,1980,rhetorical technique
genre conventions,2010,rhetorical technique
imagery,1980,rhetorical technique
imagery,1980,rhetorical technique
in anecdote,1950,rhetorical technique
in narrative structure,1950,rhetorical technique
in narrative style,1980,rhetorical technique
intertextuality,2010,rhetorical technique
irony,1950,rhetorical technique
metaphor,2010,rhetorical technique
narration,1980,rhetorical technique
narrative structure,1980,rhetorical technique
narrative technique,1980,rhetorical technique
narrative technique,1980,rhetorical technique
narrator,2010,rhetorical technique
of characters,1950,rhetorical technique
of characters,1980,rhetorical technique
of female protagonist,1980,rhetorical technique
of protagonist,1980,rhetorical technique
of protagonist,1980,rhetorical technique
of storytelling,1980,rhetorical technique
persona,1980,rhetorical technique
plot,1980,rhetorical technique
poetic form,1980,rhetorical technique
poetic structure,2010,rhetorical technique
poetic voice,2010,rhetorical technique
political metaphor,2010,rhetorical technique
relationship to ambiguity,1950,rhetorical technique
relationship to imagery,1980,rhetorical technique
relationship to literary dialect,2010,rhetorical technique
relationship to moral instruction,2010,rhetorical technique
relationship to narrative form,1980,rhetorical technique
relationship to textual errors,1950,rhetorical technique
rhetoric,2010,rhetorical technique
rhetorical technique,1980,rhetorical technique
role of preface,2010,rhetorical technique
satire,2010,rhetorical technique
sea imagery,1980,rhetorical technique
self-parody,1980,rhetorical technique
setting,1980,rhetorical technique
sources in classical literature,1950,rhetorical technique
symbolism,1980,rhetorical technique
symbolism,1980,rhetorical technique
thematic structure,1980,rhetorical technique
tone,1950,rhetorical technique
train imagery,1980,rhetorical technique
treatment of eloquence,2010,rhetorical technique
treatment of oratory,1950,rhetorical technique
treatment of poetics,1980,rhetorical technique
"compared to Greene, Graham (1904-1991)",1980,sources
"compared to Jacobs, Jane (1916-2006)",2010,sources
"compared to Janeway, James (1636?-1674)",2010,sources
"influence on Chopin, Kate (1851-1904)",1980,sources
"influence on Chopin, Kate (1851-1904)",1980,sources
"influence on Longfellow, Henry Wadsworth (1807-1882)",1950,sources
"influence on Tocqueville, Alexis-Henri-Charles-Maurice-Clerel, comte de (1805-1859)",1950,sources
relationship to folk music,2010,sources
"relationship to Hawthorne, Nathaniel (1804-1864)",1980,sources
relationship to oral tradition,1980,sources
"sources in Allston, Washington (1779-1843)",1980,sources
"sources in Channing, William Ellery, the Elder",1950,sources
"sources in Flaubert, Gustave (1821-1880)",1980,sources
"sources in Hemingway, Ernest (1899-1961)",1980,sources
"sources in Ibsen, Henrik (1828-1906)",1980,sources
"sources in Joyce, James (1882-1941)",1980,sources
sources in Kalevala,1950,sources
sources in Mexican legend,1980,sources
"sources in Philippe, Charles-Louis (1874-1909)",1950,sources
"sources in Stuart, Robert",1950,sources
"theories of Benjamin, Walter (1892-1940)",2010,sources
"theories of Gates, Henry Louis, Jr. (1950-)",2010,sources
"theories of Husserl, Edmund (1859-1938)",2010,sources
A Token for Children (1671),2010,title of work
Der Ring des Nibelungen (1869-1876),1980,title of work
Dubliners (1914),1980,title of work
For Whom the Bell Tolls (1940),1980,title of work
Gengangere (1881) [Ghosts],1980,title of work
Hacienda (1934),1980,title of work
Hungry Hearts (1920),2010,title of work
'Little Henry and His Bearer',2010,title of work
Madame Bovary (1857),1980,title of work
'Manuscript Journal',1950,title of work
Monaldi (1841),1980,title of work
'Mrs. Mobry's Reason',1980,title of work
Pierre (1852),1950,title of work
Salome of the Tenements (1922),2010,title of work
The Awakening (1899),1980,title of work
'The Children of Xochitl',1980,title of work
The Death and Life of Great American Cities (1961),2010,title of work
The Quiet American (1955),1980,title of work
The Song of Hiawatha (1855),1950,title of work
'Wings',2010,title of work
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
