1950 Subject Works,1980 Subject Works,2010 Subject Works
Astoria (1836),All the King's Men (1946),Battle Pieces and Aspects of War (1866)
Billy Budd,Der Ring des Nibelungen (1869-1876),Black Empire (1936-38)
Bubu de Montparnasse,For Whom the Bell Tolls (1940),Blood Run (2006)
Marie Donadieu,Gengangere (1881) [Ghosts],Cane (1923)
Kalevala,Go Tell It on the Mountain (1953),Eulogy on King Philip (1836)
La Democratie en Amerique (1835-40),Hacienda (1934),Hungry Hearts (1920)
Overland Monthly,'The Children of Xochitl','Wings'
Pierre (1852),'I like to see it lap the miles',Salome of the Tenements (1922)
Preludes',In Dubious Battle (1936),in The New Yorker
'Rhapsody on a Windy Night',Leaves of Grass (1855),Incidents in the Life of a Slave Girl (1861)
Remarks on American Literature (1830),Madame Bovary (1857),My Bondage and My Freedom (1855)
'Rhapsody on a Windy Night','Mrs. Mobry's Reason',Native Son (1940)
Roughing It (1872),New-Englands Crisis (1676),Black Power (1954)
The Ambassadors (1903),Notes on the State of Virginia (1787),"Poems on Various Subjects, Religious and Moral (1773)"
The Arena (1889-1909),Preparatory Meditations (1682-1725),Redburn (1849)
The Autocrat of the Breakfast Table (1858),'Roger Malvin's Burial',The Grandissimes (1880)
The Confidence-Man (1857),The Awakening (1899),The Sea around Us (1951)
'The Gentle Boy','The Bear',Uncle Tom's Cabin (1852)
The Song of Hiawatha (1855),The Confidence-Man (1857),
,'The Firebombing',
,The Grandissimes (1880),
,The Hollow of the Three Hills',
,'Alice Doane's Appeal',
,The Innocents Abroad (1869),
,Roughing It (1872),
,The Last of the Mohicans (1826),
,The Scarlet Letter (1850),
,The Sound and the Fury (1929),
,'The Story of the Young Italian',
,The World of Chance (1893),
,Typee (1846),
,"Winesburg, Ohio (1919)",
,,
,,
,,
,,
,,
,,
